,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
13,34,No,Travel_Rarely,Research & Development,19,College,Medical,1,18,Medium,Male,High,Entry Level,Laboratory Technician,Very High,Divorced,2661,0,No,11,Excellent,High,1,3,2,Better,2,2,1,2
14,28,Yes,Travel_Rarely,Research & Development,24,Bachelors,Life Sciences,1,19,High,Male,Medium,Entry Level,Laboratory Technician,High,Single,2028,5,Yes,14,Excellent,Medium,0,6,4,Better,4,2,0,3
15,29,No,Travel_Rarely,Research & Development,21,Masters,Life Sciences,1,20,Medium,Female,Very High,Senior,Manufacturing Director,Low,Divorced,9980,1,No,11,Excellent,High,1,10,1,Better,10,9,8,8
16,32,No,Travel_Rarely,Research & Development,5,College,Life Sciences,1,21,Low,Male,Very High,Entry Level,Research Scientist,Medium,Divorced,3298,0,Yes,12,Excellent,Very High,2,7,5,Good,6,2,0,5
17,22,No,Non-Travel,Research & Development,16,College,Medical,1,22,Very High,Male,Very High,Entry Level,Laboratory Technician,Very High,Divorced,2935,1,Yes,13,Excellent,Medium,2,1,2,Good,1,0,0,0
18,53,No,Travel_Rarely,Sales,2,Masters,Life Sciences,1,23,Low,Female,Medium,Manager,Manager,Very High,Married,15427,2,No,16,Excellent,High,0,31,3,Better,25,8,3,7
19,38,No,Travel_Rarely,Research & Development,2,Bachelors,Life Sciences,1,24,Very High,Male,High,Entry Level,Research Scientist,Very High,Single,3944,5,Yes,11,Excellent,High,0,6,3,Better,3,2,1,2
20,24,No,Non-Travel,Research & Development,11,College,Other,1,26,Low,Female,Very High,Junior,Manufacturing Director,High,Divorced,4011,0,No,18,Excellent,Very High,1,5,5,Good,4,2,1,3
21,36,Yes,Travel_Rarely,Sales,9,Masters,Life Sciences,1,27,High,Male,Medium,Entry Level,Sales Representative,Low,Single,3407,7,No,23,Outstanding,Medium,0,10,4,Better,5,3,0,3
22,34,No,Travel_Rarely,Research & Development,7,Masters,Life Sciences,1,28,Low,Female,High,Senior,Research Director,Medium,Single,11994,0,No,11,Excellent,High,0,13,4,Better,12,6,2,11
23,21,No,Travel_Rarely,Research & Development,15,College,Life Sciences,1,30,High,Male,High,Entry Level,Research Scientist,Very High,Single,1232,1,No,14,Excellent,Very High,0,0,6,Better,0,0,0,0
24,34,Yes,Travel_Rarely,Research & Development,6,Below College,Medical,1,31,Medium,Male,High,Entry Level,Research Scientist,Low,Single,2960,2,No,11,Excellent,High,0,8,2,Better,4,2,1,3
25,53,No,Travel_Rarely,Research & Development,5,Bachelors,Other,1,32,High,Female,High,Executive,Manager,High,Divorced,19094,4,No,11,Excellent,Very High,1,26,3,Good,14,13,4,8
26,32,Yes,Travel_Frequently,Research & Development,16,Below College,Life Sciences,1,33,Medium,Female,Low,Entry Level,Research Scientist,Low,Single,3919,1,Yes,22,Outstanding,Medium,0,10,5,Better,10,2,6,7
27,42,No,Travel_Rarely,Sales,8,Masters,Marketing,1,35,High,Male,High,Junior,Sales Executive,Medium,Married,6825,0,No,11,Excellent,Very High,1,10,2,Better,9,7,4,2
28,44,No,Travel_Rarely,Research & Development,7,Masters,Medical,1,36,Low,Female,Medium,Senior,Healthcare Representative,Very High,Married,10248,3,No,14,Excellent,Very High,1,24,4,Better,22,6,5,17
29,46,No,Travel_Rarely,Sales,2,Masters,Marketing,1,38,Medium,Female,High,Executive,Manager,Low,Single,18947,3,No,12,Excellent,Very High,0,22,2,Good,2,2,2,1
30,33,No,Travel_Rarely,Research & Development,2,Bachelors,Medical,1,39,High,Male,High,Entry Level,Laboratory Technician,Very High,Single,2496,4,No,11,Excellent,Very High,0,7,3,Better,1,1,0,0
31,44,No,Travel_Rarely,Research & Development,10,Masters,Other,1,40,Very High,Male,High,Junior,Healthcare Representative,Very High,Married,6465,2,Yes,13,Excellent,Very High,0,9,5,Best,4,2,1,3
32,30,No,Travel_Rarely,Research & Development,9,College,Medical,1,41,Very High,Male,Medium,Entry Level,Laboratory Technician,High,Single,2206,1,No,13,Excellent,Low,0,10,5,Better,10,0,1,8
33,39,Yes,Travel_Rarely,Sales,5,Bachelors,Technical Degree,1,42,Very High,Male,High,Junior,Sales Representative,Very High,Married,2086,3,No,14,Excellent,High,1,19,6,Best,1,0,0,0
34,24,Yes,Travel_Rarely,Research & Development,1,Bachelors,Medical,1,45,Medium,Male,High,Entry Level,Research Scientist,Very High,Married,2293,2,Yes,16,Excellent,Low,1,6,2,Good,2,0,2,0
35,43,No,Travel_Rarely,Research & Development,2,College,Medical,1,46,Very High,Female,Very High,Entry Level,Research Scientist,High,Divorced,2645,1,No,12,Excellent,Very High,2,6,3,Good,5,3,1,4
36,50,Yes,Travel_Rarely,Sales,3,College,Marketing,1,47,Low,Male,Medium,Entry Level,Sales Representative,High,Married,2683,1,Yes,14,Excellent,High,0,3,2,Better,3,2,0,2
37,35,No,Travel_Rarely,Sales,2,Bachelors,Marketing,1,49,Very High,Female,High,Entry Level,Sales Representative,Very High,Married,2014,1,No,13,Excellent,Low,0,2,3,Better,2,2,2,2
38,36,No,Travel_Rarely,Research & Development,5,Masters,Life Sciences,1,51,Medium,Female,Medium,Entry Level,Research Scientist,Low,Married,3419,9,Yes,14,Excellent,Very High,1,6,3,Best,1,1,0,0
39,33,No,Travel_Frequently,Sales,1,Bachelors,Life Sciences,1,52,High,Female,Very High,Junior,Sales Executive,Low,Married,5376,2,No,19,Excellent,Low,2,10,3,Better,5,3,1,3
40,35,No,Travel_Rarely,Research & Development,4,College,Other,1,53,High,Male,High,Entry Level,Laboratory Technician,Very High,Divorced,1951,1,No,12,Excellent,High,1,1,3,Better,1,0,0,0
41,27,No,Travel_Rarely,Research & Development,2,Masters,Life Sciences,1,54,Very High,Female,High,Entry Level,Laboratory Technician,Low,Divorced,2341,1,No,13,Excellent,Very High,1,1,6,Better,1,0,0,0
42,26,Yes,Travel_Rarely,Research & Development,25,Bachelors,Life Sciences,1,55,Low,Male,Low,Entry Level,Laboratory Technician,High,Single,2293,1,No,12,Excellent,High,0,1,2,Good,1,0,0,1
43,27,No,Travel_Frequently,Sales,8,Bachelors,Life Sciences,1,56,Very High,Male,High,Senior,Sales Executive,High,Single,8726,1,No,15,Excellent,Very High,0,9,0,Better,9,8,1,7
44,30,No,Travel_Frequently,Research & Development,1,College,Medical,1,57,High,Female,High,Junior,Laboratory Technician,Very High,Single,4011,1,No,23,Outstanding,Very High,0,12,2,Better,12,8,3,7
45,41,Yes,Travel_Rarely,Research & Development,12,Bachelors,Technical Degree,1,58,Medium,Female,High,Executive,Research Director,High,Married,19545,1,No,12,Excellent,Very High,0,23,0,Better,22,15,15,8
46,34,No,Non-Travel,Sales,23,Masters,Marketing,1,60,Medium,Male,High,Junior,Sales Executive,High,Single,4568,0,No,20,Outstanding,High,0,10,2,Better,9,5,8,7
47,37,No,Travel_Rarely,Research & Development,19,College,Life Sciences,1,61,Medium,Male,High,Entry Level,Research Scientist,Medium,Married,3022,4,No,21,Outstanding,Low,0,8,1,Better,1,0,0,0
48,46,No,Travel_Frequently,Sales,5,Masters,Marketing,1,62,Low,Male,High,Junior,Sales Executive,Very High,Single,5772,4,Yes,21,Outstanding,High,0,14,4,Better,9,6,0,8
49,35,No,Travel_Rarely,Research & Development,8,Below College,Life Sciences,1,63,Very High,Male,Very High,Entry Level,Laboratory Technician,Very High,Married,2269,1,No,19,Excellent,Very High,0,1,2,Better,1,0,0,1
50,48,Yes,Travel_Rarely,Research & Development,1,College,Life Sciences,1,64,Low,Male,Medium,Senior,Laboratory Technician,High,Single,5381,9,Yes,13,Excellent,Very High,0,23,2,Better,1,0,0,0
51,28,Yes,Travel_Rarely,Research & Development,5,Masters,Technical Degree,1,65,High,Male,High,Entry Level,Laboratory Technician,High,Single,3441,1,Yes,13,Excellent,High,0,2,3,Good,2,2,2,2
52,44,No,Travel_Rarely,Sales,1,Phd,Marketing,1,68,Medium,Female,High,Junior,Sales Executive,Low,Divorced,5454,5,Yes,21,Outstanding,High,1,9,2,Good,4,3,1,3
53,35,No,Non-Travel,Research & Development,11,College,Medical,1,70,High,Male,Medium,Senior,Healthcare Representative,Low,Married,9884,2,Yes,13,Excellent,High,1,10,3,Better,4,0,2,3
54,26,No,Travel_Rarely,Sales,23,Bachelors,Marketing,1,72,High,Female,Medium,Junior,Sales Executive,Very High,Married,4157,7,Yes,19,Excellent,High,1,5,2,Good,2,2,0,0
55,33,No,Travel_Frequently,Research & Development,1,College,Life Sciences,1,73,Low,Female,High,Senior,Research Director,Very High,Single,13458,1,Yes,12,Excellent,High,0,15,1,Better,15,14,8,12
56,35,No,Travel_Frequently,Sales,18,Phd,Life Sciences,1,74,Medium,Male,High,Senior,Sales Executive,Low,Married,9069,1,No,22,Outstanding,Very High,1,9,3,Good,9,8,1,8
57,35,No,Travel_Rarely,Research & Development,23,Masters,Medical,1,75,High,Female,High,Entry Level,Laboratory Technician,Low,Married,4014,3,Yes,15,Excellent,High,1,4,3,Better,2,2,2,2
58,31,No,Travel_Rarely,Research & Development,7,Masters,Life Sciences,1,76,Very High,Male,High,Junior,Laboratory Technician,Very High,Divorced,5915,3,No,22,Outstanding,Very High,1,10,3,Good,7,7,1,7
59,37,No,Travel_Rarely,Research & Development,1,Masters,Life Sciences,1,77,Low,Male,Medium,Junior,Manufacturing Director,High,Divorced,5993,1,No,18,Excellent,High,1,7,2,Best,7,5,0,7
60,32,No,Travel_Rarely,Research & Development,1,Bachelors,Medical,1,78,Low,Male,High,Junior,Manufacturing Director,Very High,Married,6162,1,Yes,22,Outstanding,Medium,1,9,3,Better,9,8,7,8
61,38,No,Travel_Frequently,Research & Development,29,Phd,Life Sciences,1,79,Very High,Female,High,Junior,Laboratory Technician,Very High,Single,2406,1,No,11,Excellent,Very High,0,10,2,Better,10,3,9,9
62,50,No,Travel_Rarely,Research & Development,7,College,Medical,1,80,Medium,Female,Medium,Executive,Research Director,High,Divorced,18740,5,Yes,12,Excellent,Very High,1,29,2,Good,27,3,13,8
63,59,No,Travel_Rarely,Sales,25,Bachelors,Life Sciences,1,81,Low,Female,High,Senior,Sales Executive,Low,Single,7637,7,No,11,Excellent,Very High,0,28,3,Good,21,16,7,9
64,36,No,Travel_Rarely,Research & Development,8,Bachelors,Technical Degree,1,83,High,Female,High,Senior,Healthcare Representative,High,Divorced,10096,1,No,13,Excellent,Medium,3,17,2,Better,17,14,12,8
65,55,No,Travel_Rarely,Research & Development,8,Bachelors,Medical,1,84,Very High,Female,High,Manager,Manager,High,Divorced,14756,2,Yes,14,Excellent,High,3,21,2,Better,5,0,0,2
66,36,No,Travel_Frequently,Research & Development,11,Bachelors,Life Sciences,1,85,Medium,Male,Medium,Junior,Manufacturing Director,Medium,Single,6499,1,No,13,Excellent,High,0,6,3,Better,6,5,0,3
67,45,No,Travel_Rarely,Research & Development,7,Bachelors,Life Sciences,1,86,Medium,Male,High,Senior,Research Scientist,Low,Divorced,9724,2,No,17,Excellent,High,1,25,2,Better,1,0,0,0
68,35,No,Travel_Frequently,Research & Development,1,Bachelors,Medical,1,88,Medium,Male,High,Entry Level,Research Scientist,Low,Married,2194,4,No,13,Excellent,Very High,1,5,2,Good,3,2,1,2
69,36,Yes,Travel_Rarely,Research & Development,9,Bachelors,Medical,1,90,Very High,Male,Medium,Entry Level,Research Scientist,High,Married,3388,0,Yes,17,Excellent,Low,1,2,0,Good,1,0,0,0
70,59,No,Travel_Frequently,Sales,1,Below College,Life Sciences,1,91,Low,Female,Medium,Junior,Sales Executive,High,Single,5473,7,No,11,Excellent,Very High,0,20,2,Good,4,3,1,3
71,29,No,Travel_Rarely,Research & Development,2,Bachelors,Life Sciences,1,94,High,Male,High,Entry Level,Research Scientist,Medium,Married,2703,0,No,23,Outstanding,Very High,1,6,3,Better,5,4,0,4
72,31,No,Travel_Rarely,Research & Development,1,Masters,Medical,1,95,High,Male,High,Entry Level,Research Scientist,Medium,Single,2501,1,No,17,Excellent,Medium,0,1,4,Better,1,1,1,0
73,32,No,Travel_Rarely,Research & Development,1,Bachelors,Life Sciences,1,96,Medium,Male,High,Junior,Research Scientist,Medium,Married,6220,1,No,17,Excellent,Medium,2,10,3,Better,10,4,0,9
74,36,No,Travel_Rarely,Research & Development,6,Bachelors,Life Sciences,1,97,Medium,Female,Very High,Entry Level,Laboratory Technician,Very High,Married,3038,3,No,12,Excellent,Medium,0,5,3,Better,1,0,0,0
75,31,No,Travel_Rarely,Research & Development,8,Masters,Life Sciences,1,98,High,Female,High,Junior,Manufacturing Director,Very High,Single,4424,1,No,23,Outstanding,Very High,0,11,2,Better,11,7,1,8
76,35,No,Travel_Rarely,Sales,1,Masters,Marketing,1,100,High,Male,Medium,Junior,Sales Executive,Low,Single,4312,0,No,14,Excellent,Medium,0,16,2,Better,15,13,2,8
77,45,No,Travel_Rarely,Research & Development,6,Masters,Other,1,101,Very High,Male,High,Senior,Research Director,Low,Married,13245,4,Yes,14,Excellent,Medium,0,17,3,Best,0,0,0,0
78,37,No,Travel_Rarely,Research & Development,7,Masters,Medical,1,102,Low,Male,High,Senior,Research Director,High,Single,13664,4,No,13,Excellent,Low,0,16,3,Best,5,2,0,2
79,46,No,Travel_Rarely,Human Resources,5,College,Medical,1,103,Medium,Male,High,Junior,Human Resources,Medium,Divorced,5021,8,Yes,22,Outstanding,Very High,1,16,2,Better,4,2,0,2
80,30,No,Travel_Rarely,Research & Development,1,Below College,Life Sciences,1,104,Very High,Male,Medium,Junior,Laboratory Technician,Very High,Married,5126,1,Yes,12,Excellent,High,2,10,1,Good,10,8,3,0
81,35,No,Travel_Rarely,Research & Development,1,Bachelors,Medical,1,105,Medium,Male,Medium,Entry Level,Research Scientist,High,Single,2859,1,No,18,Excellent,Low,0,6,3,Better,6,4,0,4
82,55,No,Travel_Rarely,Sales,1,College,Life Sciences,1,106,Low,Male,High,Senior,Sales Executive,Very High,Married,10239,3,No,14,Excellent,Very High,1,24,4,Better,1,0,1,0
83,38,No,Non-Travel,Research & Development,6,Bachelors,Medical,1,107,Medium,Female,Low,Junior,Research Scientist,Very High,Divorced,5329,7,Yes,12,Excellent,Very High,3,17,3,Better,13,11,1,9
84,34,No,Travel_Rarely,Research & Development,1,College,Medical,1,110,Low,Male,High,Junior,Manufacturing Director,Medium,Married,4325,1,No,15,Excellent,High,0,5,2,Better,5,2,1,3
85,56,No,Travel_Rarely,Research & Development,7,Bachelors,Life Sciences,1,112,Very High,Male,Low,Senior,Manufacturing Director,Very High,Single,7260,4,No,11,Excellent,Low,0,37,3,Good,6,4,0,2
86,23,No,Travel_Rarely,Sales,2,Below College,Technical Degree,1,113,High,Male,High,Entry Level,Sales Representative,Low,Divorced,2322,3,No,13,Excellent,High,1,3,3,Better,0,0,0,0
87,51,No,Travel_Rarely,Research & Development,9,Masters,Life Sciences,1,116,Very High,Male,High,Entry Level,Laboratory Technician,Very High,Married,2075,3,No,23,Outstanding,Medium,2,10,4,Better,4,2,0,3
88,30,No,Travel_Rarely,Research & Development,2,Bachelors,Life Sciences,1,117,High,Male,Medium,Junior,Healthcare Representative,Very High,Married,4152,1,No,19,Excellent,Low,3,11,3,Better,11,10,10,8
89,46,Yes,Travel_Rarely,Sales,9,College,Medical,1,118,High,Male,Medium,Senior,Sales Executive,Very High,Single,9619,1,No,16,Excellent,Very High,0,9,3,Better,9,8,4,7
90,40,No,Travel_Frequently,Research & Development,1,Masters,Life Sciences,1,119,High,Male,Medium,Manager,Healthcare Representative,Medium,Married,13503,1,No,22,Outstanding,Very High,1,22,3,Good,22,3,11,11
91,51,No,Travel_Rarely,Sales,21,Masters,Marketing,1,120,High,Male,High,Junior,Sales Executive,Very High,Single,5441,0,Yes,22,Outstanding,Very High,0,11,2,Bad,10,7,1,0
92,30,No,Travel_Rarely,Sales,4,College,Medical,1,121,High,Female,Medium,Junior,Sales Executive,Medium,Divorced,5209,1,Yes,12,Excellent,Medium,3,11,4,Good,11,8,2,7
93,46,No,Travel_Frequently,Research & Development,1,Bachelors,Medical,1,124,High,Male,Medium,Senior,Healthcare Representative,Low,Married,10673,2,Yes,13,Excellent,High,1,21,5,Good,10,9,9,5
94,32,No,Travel_Rarely,Sales,6,Masters,Medical,1,125,Medium,Male,High,Junior,Sales Executive,High,Single,5010,1,No,16,Excellent,Low,0,12,0,Better,11,8,5,7
95,54,No,Travel_Rarely,Research & Development,2,Masters,Technical Degree,1,126,Low,Female,High,Senior,Research Director,High,Married,13549,9,No,12,Excellent,Low,1,16,5,Bad,4,3,0,3
96,24,No,Travel_Rarely,Sales,3,College,Other,1,128,Low,Female,High,Junior,Sales Executive,High,Married,4999,0,No,21,Outstanding,Low,1,4,2,Good,3,2,0,2
97,28,No,Non-Travel,Sales,4,Bachelors,Medical,1,129,Medium,Male,High,Junior,Sales Executive,High,Married,4221,1,No,15,Excellent,Medium,0,5,3,Best,5,4,0,4
98,58,No,Travel_Rarely,Sales,10,Masters,Medical,1,131,Very High,Male,High,Manager,Sales Executive,High,Single,13872,0,No,13,Excellent,High,0,38,1,Good,37,10,1,8
99,44,No,Non-Travel,Research & Development,23,Bachelors,Medical,1,132,Medium,Male,High,Junior,Laboratory Technician,Medium,Married,2042,4,No,12,Excellent,High,1,17,3,Best,3,2,1,2
100,37,Yes,Travel_Rarely,Human Resources,6,Masters,Human Resources,1,133,High,Male,High,Entry Level,Human Resources,Low,Divorced,2073,4,Yes,22,Outstanding,Very High,0,7,3,Better,3,2,0,2
101,32,No,Travel_Rarely,Research & Development,1,Below College,Life Sciences,1,134,Very High,Male,High,Entry Level,Research Scientist,Low,Single,2956,1,No,13,Excellent,Very High,0,1,2,Better,1,0,0,0
102,20,Yes,Travel_Frequently,Research & Development,6,Bachelors,Life Sciences,1,137,Very High,Female,Medium,Entry Level,Laboratory Technician,Very High,Single,2926,1,Yes,18,Excellent,Medium,0,1,5,Better,1,0,1,0
103,34,No,Travel_Rarely,Research & Development,6,Masters,Other,1,138,Low,Female,High,Junior,Research Scientist,High,Single,4809,1,No,14,Excellent,High,0,16,3,Better,16,13,2,10
104,37,No,Non-Travel,Research & Development,2,College,Life Sciences,1,139,High,Male,Medium,Junior,Healthcare Representative,Very High,Divorced,5163,5,No,14,Excellent,Very High,1,17,2,Best,1,0,0,0
105,59,No,Non-Travel,Human Resources,2,Masters,Human Resources,1,140,High,Female,Medium,Executive,Manager,Very High,Married,18844,9,No,21,Outstanding,Very High,1,30,3,Better,3,2,2,2
106,50,No,Travel_Frequently,Research & Development,1,Bachelors,Life Sciences,1,141,Low,Female,High,Executive,Research Director,Medium,Married,18172,3,Yes,19,Excellent,Low,0,28,1,Good,8,3,0,7
107,25,Yes,Travel_Rarely,Sales,5,Bachelors,Marketing,1,142,High,Male,Medium,Junior,Sales Executive,High,Single,5744,1,Yes,11,Excellent,Very High,0,6,1,Better,6,4,0,3
108,25,No,Travel_Rarely,Research & Development,7,Below College,Medical,1,143,Very High,Male,Medium,Entry Level,Research Scientist,Very High,Married,2889,1,No,11,Excellent,High,2,2,2,Better,2,2,2,1
109,22,No,Travel_Rarely,Research & Development,15,Bachelors,Medical,1,144,Medium,Female,High,Entry Level,Laboratory Technician,Very High,Single,2871,1,No,15,Excellent,High,0,1,5,Better,0,0,0,0
110,51,No,Travel_Frequently,Research & Development,1,Masters,Medical,1,145,Low,Female,Medium,Senior,Healthcare Representative,Low,Single,7484,3,No,20,Outstanding,High,0,23,1,Good,13,12,12,8
111,34,Yes,Travel_Frequently,Research & Development,7,Bachelors,Life Sciences,1,147,Low,Male,Low,Junior,Laboratory Technician,High,Single,6074,1,Yes,24,Outstanding,Very High,0,9,3,Better,9,7,0,6
112,54,No,Non-Travel,Human Resources,26,Bachelors,Human Resources,1,148,Very High,Female,Very High,Manager,Manager,Very High,Single,17328,2,Yes,12,Excellent,High,0,23,3,Better,5,3,4,4
113,24,No,Travel_Rarely,Research & Development,18,Below College,Life Sciences,1,150,Medium,Male,High,Entry Level,Laboratory Technician,High,Married,2774,0,No,12,Excellent,High,1,6,2,Better,5,3,1,2
114,34,No,Travel_Rarely,Research & Development,6,Masters,Life Sciences,1,151,High,Female,Medium,Junior,Research Scientist,Medium,Divorced,4505,6,No,15,Excellent,High,1,12,3,Better,1,0,0,0
115,37,No,Travel_Rarely,Sales,3,Bachelors,Life Sciences,1,152,High,Male,High,Senior,Sales Executive,Very High,Single,7428,2,No,12,Excellent,Low,0,12,3,Better,5,3,1,3
116,34,No,Travel_Rarely,Research & Development,5,Bachelors,Medical,1,153,High,Female,Medium,Senior,Manager,Low,Single,11631,2,No,12,Excellent,Very High,0,14,6,Better,11,10,5,8
117,36,No,Travel_Frequently,Sales,11,College,Technical Degree,1,154,Medium,Female,High,Senior,Sales Executive,Very High,Married,9738,0,No,14,Excellent,High,1,10,6,Better,9,7,2,8
118,36,No,Travel_Rarely,Research & Development,3,College,Life Sciences,1,155,Low,Female,High,Entry Level,Laboratory Technician,Very High,Divorced,2835,5,No,22,Outstanding,Low,1,7,2,Better,1,0,0,0
119,43,No,Travel_Frequently,Sales,26,College,Life Sciences,1,158,High,Male,High,Manager,Manager,Very High,Married,16959,1,Yes,12,Excellent,Very High,2,25,3,Best,25,12,4,12
120,30,No,Travel_Frequently,Research & Development,23,Bachelors,Life Sciences,1,159,Low,Male,Low,Entry Level,Research Scientist,High,Divorced,2613,1,No,25,Outstanding,High,3,10,2,Good,10,7,0,9
121,33,No,Non-Travel,Sales,22,College,Marketing,1,160,High,Male,High,Junior,Sales Executive,Medium,Married,6146,0,No,13,Excellent,Low,1,8,2,Best,7,7,0,7
122,56,Yes,Travel_Rarely,Research & Development,14,Masters,Life Sciences,1,161,Medium,Female,High,Entry Level,Research Scientist,Medium,Married,4963,9,Yes,18,Excellent,Low,3,7,2,Better,5,4,4,3
123,51,No,Travel_Rarely,Research & Development,6,Bachelors,Life Sciences,1,162,Low,Male,High,Executive,Research Director,High,Single,19537,7,No,13,Excellent,High,0,23,5,Better,20,18,15,15
124,31,Yes,Travel_Rarely,Sales,6,Masters,Life Sciences,1,163,Medium,Male,Low,Junior,Sales Executive,High,Married,6172,4,Yes,18,Excellent,Medium,0,12,3,Good,7,7,7,7
125,26,No,Travel_Rarely,Research & Development,6,Bachelors,Other,1,164,High,Female,Medium,Entry Level,Research Scientist,Medium,Married,2368,1,No,19,Excellent,High,0,5,3,Good,5,4,4,3
126,58,Yes,Travel_Rarely,Research & Development,23,Masters,Medical,1,165,Very High,Female,High,Senior,Healthcare Representative,Very High,Married,10312,1,No,12,Excellent,Very High,1,40,3,Good,40,10,15,6
127,19,Yes,Travel_Rarely,Sales,22,Below College,Marketing,1,167,Very High,Male,High,Entry Level,Sales Representative,High,Single,1675,1,Yes,19,Excellent,Very High,0,0,2,Good,0,0,0,0
128,22,No,Travel_Rarely,Research & Development,2,Below College,Technical Degree,1,169,High,Male,High,Entry Level,Laboratory Technician,Very High,Married,2523,0,No,14,Excellent,High,1,3,2,Better,2,1,2,1
129,49,No,Travel_Rarely,Research & Development,20,Masters,Medical,1,170,High,Female,High,Junior,Manufacturing Director,Low,Married,6567,1,No,14,Excellent,High,0,16,2,Good,15,11,5,11
130,43,No,Travel_Frequently,Research & Development,28,Bachelors,Medical,1,171,Medium,Female,Very High,Entry Level,Research Scientist,High,Single,4739,4,No,12,Excellent,Very High,0,18,2,Better,3,2,1,2
131,50,No,Travel_Frequently,Sales,12,Bachelors,Marketing,1,174,High,Female,High,Senior,Sales Executive,Very High,Single,9208,4,No,11,Excellent,Very High,0,16,3,Better,2,2,2,1
132,31,Yes,Travel_Rarely,Sales,20,Bachelors,Life Sciences,1,175,Medium,Female,Low,Junior,Sales Executive,High,Married,4559,3,Yes,11,Excellent,High,1,4,2,Better,2,2,2,2
133,41,No,Travel_Rarely,Sales,9,Below College,Life Sciences,1,176,High,Male,High,Senior,Sales Executive,High,Divorced,8189,3,Yes,13,Excellent,High,1,12,2,Better,9,7,0,7
134,26,No,Travel_Rarely,Human Resources,25,Below College,Life Sciences,1,177,High,Female,High,Entry Level,Human Resources,High,Married,2942,1,No,23,Outstanding,Very High,1,8,3,Better,8,7,5,7
